Loo Grossi kpl,Loo,Saha tee 9,74201,kassade vastas,59.4344797,24.9473245
Tallinna Balti Jaama Turg,Tallinn,Kopli 1,10411,0. korrusel MyFitnessi kõrval boksis,59.4410655,24.736339
Elva Maxima,Elva,Valga maantee 5,61504,1. korrusel kassade vastas boksis,58.2207746,26.4049557
Tartu Kvartal,Tartu,Riia 2,51004,0. korrusel liftide vastas,58.3772958,26.7287443
Tartu Saare Maxima,Tartu,Anne 57,50703,1. korrusel Vsbogu OÜ kõrval boksis,58.3750558,26.7564363
Tartu Vahi Selver,Tartu,Vahi 62,50304,BENU apteegi kõrval boksis,58.4016999,26.7176241
Tallinna Kakumäe Selver,Tallinn,Rannamõisa tee 6e,13516,-1. korrusel travelaatori kõrval,59.428124,24.627002
Tallinna Hiiu Rimi,Tallinn,Pärnu mnt. 386,11612,Kassade kõrval,59.382773,24.6641285
Tallinna Viru Keskus,Tallinn,Viru väljak 4/6,10151,"-1. korrusel Toidumaailma kassade juures, eskalaatorite all",59.4360994,24.7565528
Tallinna Pirita Keskus,Tallinn,Merivälja tee 24,11911,1. korrusel Rimi sissepääsu kõrval,59.4686,24.8349
Keila Grossi kpl,Keila,Piiri 7,76610,1. korrusel peaukse kõrval,59.3125,24.4174
Tartu Sõbrakeskus,Tartu,Võru 55F,50111,1. korrusel peasissepääsu juures autotarvete poe vastas,58.3649857,26.7193472
Maardu Pärli Keskus,Maardu,Nurga 3,74113,1. korrusel Hesburgeri vastas,59.487,25.0192
Tallinna Lasnamäe Maksimarket,Tallinn,J. Smuuli tee 43,11415,1. korrusel peasissepääsu juures,59.428,24.8385
Rakvere Vaala Keskus,Rakvere,Lõõtspilli 2,44313,1. korrusel linnapoolse sissepääsu juures kauplus Apelsin kõrval,59.3548,26.3837
Auriga Keskus,Kuressaare,Tallinna 88,93851,1. korrusel Koduekstra poe kõrval,58.2654,22.5161
Pärnu Port Artur 2,Pärnu,Lai 11,80010,0. korrusel eskalaatorite kõrval,58.3874,24.504
Tallinna Arsenali Keskus,Tallinn,Erika 14,10416,1. korrusel Erika tänava poolse sissepääsu juures,59.4509,24.7166
Tallinna T1 Kaubanduskeskus,Tallinn,Peterburi tee 2,11415,0. korrusel Ülemiste jaama poolse travelaatori kõrval,59.4247,24.7952
Tallinna Kristiine Keskus 2.korrus,Tallinn,Endla 45,10701,"2. korrusel Sportlandi kõrval, ligipääs liftiga",59.427904,24.723621
Tallinna Astangu Rimi,Tallinn,Kotermaa tn 4,13519,1. korrusel juuksuri kõrval,59.4053,24.6163
Tapa Konsum,Tapa,Kalmistu 3,45109,1. korrusel apteegi vastas,59.265,25.9666
Tallinna Nautica Keskus,Tallinn,Ahtri 9,10151,1. korrusel Salamander kaupluse kõrval,59.4415,24.7615
Tallinna Männiku Rimi,Tallinn,Männiku tee 100,11215,peasissepääsu kõrval,59.372058,24.716523
Tallinna Kolde Selver,Tallinn,Sõle tn 31,10321,1. korrusel Selveri kassade kõrval,59.4397905,24.7060144
Tallinna Finest ärimaja,Tallinn,Pärnu mnt 22,10141,0. korrusel Rimi vastas eskalaatorite all,59.4315,24.7431
Tallinna Nurmenuku Rimi,Tallinn,Ehitajate tee 107,13511,apteegi kõrval,59.414,24.6523
Ülenurme Konsum,Ülenurme,Võru mnt. 2,61714,kassade kõrval,58.3151,26.7221
Kiviõli K5 keskus,Kiviõli,Metsa 3,43125,Rimi kassade vastas,59.3569,26.9731
Räpina Maxima,Räpina,Pargi 1,64505,kassade vastas boksis,58.0974,27.4635
Kehra Grossi kpl,Kehra,Kose maantee 7,74307,peasissepääsu kõrval,59.3345,25.3308
Haljala Grossi kpl,Haljala,Võsu mnt 5,45301,peasissepääsu vastas,59.4332,26.26805
Kiili Maxima,Kiili,Vaela tee 4,75401,kassade vastas boksis,59.3099,24.832
Kohila Konsum,Kohila,Lõuna 2,79801,peasissepääsust vasakul,59.1672,24.7475
Viljandi Centrum,Viljandi,Tallinna 24,71008,Euronicsi vastas trepi all,58.3678,25.5963
Sauga Konsum,Sauga,Kuldnoka 1,85008,peasissepääsu kõrval,58.429,24.4976
Paikuse Konsum,Paikuse,Pärnade pst. 1,86602,kohviku vastas,58.3738,24.6176
Imavere Alexela,Imavere,Paiaristi,72401,tanklapoes,58.7458,25.7652
Tartu Tuglase Rimi,Tartu,Friedebert Tuglase 19,51014,sissepääsu vastas,58.3851,26.6918
Sillamäe Maxima XX,Sillamäe,Pavlovi tn 1a,40232,lillepoe kõrval,59.39175,27.77589
Tallinna Sõpruse Rimi,Tallinn,Sõpruse pst. 174,13424,iseteeninduskassade kõrval,59.4142,24.70722
Vana Pärnu Selver ABC,Pärnu,Haapsalu maantee 41,88317,peasissepääsu kõrval,58.39405,24.46125
Viimsi Maxima,Viimsi,Pargi tee 22,74001,Kassade vastas boksis,59.5049,24.8295217
Saue Rimi,Saue,Keskuse 11,76505,Kassade vastas,59.3237,24.5603
Põlva Selver (valge),Põlva,Jaama 12,63303,Sissepääsu juures boksipinnal,58.0637077,27.0689168
Tartu Sõbra Selver (valge),Tartu,Sõbra 41,50106,Selveri kaupluse sissepääsu kõrval,58.3640907,26.7386306
Võru Maksimarket (valge),Võru,Jüri 83,65607,Sissepääsu kõrval,57.8351896,27.0075905
Vastseliina Konsum (valge),Vastseliina,Võidu 21,65201,Sissepääsu kõrval,57.7319806,27.2819984
Järvakandi Grossi kpl (valge),Järvakandi,Turu 1,79101,Sissepääsu kõrval,58.7743373,24.815428
Peetri Keskus (valge),Tallinn,Küti tee 4,75312,Peasissepääsust paremal,59.397629,24.8026356
Kuressaare Wow keskus (valge),Kuressaare,Merikotka 1,93810,"sissepääsu kõrval, selveri kassade vastas",58.2505601,22.4563205
Tõrvandi Konsum (valge),Tõrvandi,Müürsepa 1,61715,Kassade vastas,58.3229904,26.708312
Pärnu Turg (valge),Pärnu,Suur-Sepa 18,80018,R-kioski kõrval,58.3822479,24.5072318
Tartu Ujula Konsum (valge),Tartu,Ujula 2,51008,Sissepääsu juures,58.3864822,26.722064
Rõngu Konsum (valge),Rõngu,Tartu maantee 2,61001,Kassade vastas,58.1437193,26.2469359
Tartu Mõisavahe Konsum (valge),Tartu,Mõisavahe 34c,50708,Sissepääsu juures,58.3717777,26.7738321
Tartu Sepa Rimi (valge),Tartu,Sepa 21,50105,Kassade kõrval,58.3492068,26.7373789
Viljandi Vaksali Maxima (valge),Viljandi,Vaksali 11b,71012,Kassade vastas boksis,58.3618743,25.582566
Haapsalu Uuemõisa Konsum (valge),Haapsalu,Tallinna maantee 84,90401,Kassade juures,58.9406441,23.5802523
Tallinna Linnamäe Konsum (valge),Tallinn,Linnamäe tee 3,13912,Läänemere tee poolse sissepääsu juures,59.4490504,24.8611858
Paide Maxima (valge),Paide,Pärnu 63,72712,Sissepääsu kõrval boksis,58.8866591,25.5562366
Sindi Konsum (valge),Sindi,Jaama 8,86705,Kassade kõrval,58.4047616,24.6494888
Tallinna Tööstuse Rimi (valge),Tallinn,Tööstuse 103,10416,Iseteenindus kassade kõrval,59.453478,24.7027841
Tallinna Marienthali Selver (valge),Tallinn,Mustamäe tee 16,10617,Selveri infoleti kõrval boksis,59.422443,24.6950333
Kunda Grossi kpl (valge),Kunda,Kasemäe 12,44107,Sissepääsu kõrval,59.5004631,26.5162288
Kadrina Grossi kpl (valge),Kadrina,Viru 9,45201,Sissepääsu juures,59.3412946,26.1287123
Laulasmaa Selver ABC (valge),Laulasmaa,Kloogaranna tee 26,76702,Kassade vastas,59.3786,24.2364
Tallinna Sõpruse pst Maxima (valge),Tallinn,Sõpruse pst. 171,13413,"Sissepääsust paremal, kassade vastas",59.407376,24.7024012
Mustvee konsum (valge),Mustvee,Tartu 3,49604,Kassade vastas,58.8478217,26.9426012
Kilingi-Nõmme Konsum (valge),Kilingi-Nõmme,Pärnu 37,86303,sissepääsu juures,58.1479636,24.9491385
Tallinna Kollane keskus (valge),Tallinn,Õismäe tee 107a,13515,Rimi sissepääsu juures,59.4117899,24.6354876
Tallinna Õismäe Maxima XX (valge),Tallinn,Õismäe tee 46,13512,"Sissepääsust paremal, iseteeninduskassade vastas",59.4113689,24.6448742
Võhma Meie pood (valge),Võhma,Tallinna 28a,70602,Sissepääsu kõrval,58.6308361,25.5596124
Tallinna Virbi Maxima (valge),Tallinn,Virbi 12,13617,Kassade vastas,59.4408167,24.8438312
Kuusalu Meie pood (valge),Kuusalu,Kuusalu tee 39,74601,Sissepääsu juures,59.4455321,25.4336275
Kärdla Hiiu Konsum (valge),Kärdla,Keskväljak 1,92413,Kassade vastas,58.9985733,22.7471484
Pärnu Jaagupi kauplus (valge),Pärnu-Jaagupi,Pärnu maantee 18,87201,Sissepääsu kõrval,58.6073712,24.5016135
Orissaare bussijaam (valge),Orissaare,Kuivastu mnt 26a,94601,Sissepääsu kõrval,58.55912,23.08193
Tallinna Pelgulinna Selver (valge),Tallinn,Sõle 51,10318,"Sissepääsust vasakul, iseteeninduskassade vastas boksis",59.4448,24.6981
Tallinna Sadam D-terminal (valge),Tallinn,Lootsi 13,10151,Hestia Hotelli poolse sissepääsu kõrval,59.4433,24.7645
Kose Grossi kpl pakimajake (valge),Kose,Kodu 2,75101,Parkimisplatsil,59.1841,25.1623
Türi Grossi kpl pakimajake (valge),Türi,Viljandi 13d,72212,Parkimisplatsil,58.8031,25.4273
Paldiski Grossi kpl pakimajake (valge),Paldiski,Rae 26,76805,Parkimisplatsil,59.3496,24.0576
Tartu Raatuse Selver ABC (valge),Tartu,Raatuse 20,50603,Kassade kõrval boksis,58.3822,26.7306
Antsla Konsum (valge),Antsla,Kreutzwaldi 4a,66404,Sissepääsu kõrval,57.8291,26.5292
Leesi poemaja (valge),Leesi,Poe,74704,Sissepääsu juures,59.6055621,25.498376
Tallinna Nõmme keskus (valge),Tallinn,Jaama 2,11621,"Keskuse Kõvera tn poolses otsas, välisuksest sissepääs kapiuksekoodiga",59.387679,24.683983
Tallinna Pääsküla Maxima (valge),Tallinn,Pärnu mnt 536b,10915,"Sissepääsust paremal, kassade kõrval",59.3584877,24.6299089
Tõrva Tikste Konsum (valge),Tõrva,Viljandi 28,68604,,58.00627,25.91203
Valga Siili Konsum (valge),Valga,A. Neulandi 2,68207,Kassade kõrval,57.77891,26.03511
Tartu Raadi Grossi kpl (valge),Tartu,"Keskuse tee 2, Tila küla",60532,Sissepääsu kõrval,58.408067,26.74423
