Sõpruse pst 201/203,Tallinn,13419,Harjumaa,Tallinna Magistrali keskus,59.4023276,24.6972348
A. H. Tammsaare tee 104a,Tallinn,12918,Harjumaa,Tallinna Mustamäe keskus,59.4089246,24.6817106
Mahtra 1,Tallinn,13811,Harjumaa,Tallinna Mustakivi keskus,59.4421676,24.8736492
Mustamäe tee 16,Tallinn,10617,Harjumaa,Tallinna Marienthali Selver,59.4227698,24.6964113
Tammsaare tee 116,Tallinn,12918,Harjumaa,Tallinna Mustika keskus,59.4068486,24.683054
Männiku tee 100,Tallinn,11215,Harjumaa,Tallinna Männiku Rimi,59.3721561,24.7165904
Narva mnt 23,Tallinn,10120,Harjumaa,Tallinna Narva mnt Selver,59.4386065,24.7704412
Õismäe tee 1b,Tallinn,13514,Harjumaa,Tallinna Nurmenuku keskus,59.4135441,24.6550733
Pallasti 18,Tallinn,11414,Harjumaa,Tallinna Pallasti Maxima X,59.4296278,24.7923335
Paasiku 2a,Tallinn,13915,Harjumaa,Tallinna Paasiku Grossi kauplus,59.4484234,24.8451053
Paepargi 57,Tallinn,11417,Harjumaa,Tallinna Paepargi Maxima XX,59.4350817,24.8111115
Sõle 51,Tallinn,10318,Harjumaa,Tallinna Pelgulinna Selver,59.4450291,24.7005911
Merivälja tee 24,Tallinn,12112,Harjumaa,Tallinna Pirita keskus,59.4889551,24.8371688
Rummu tee 4,Tallinn,11911,Harjumaa,Tallinna Pirita Selver,59.462283,24.8283849
Punane 46,Tallinn,13619,Harjumaa,Tallinna Punane Selver,59.4345889,24.8348773
Põhja pst 17,Tallinn,10414,Harjumaa,Tallinna Põhja Rimi,59.4441722,24.7430001
Viljandi mnt 41a,Tallinn,11218,Harjumaa,Tallinna Raudalu Konsum,59.3662954,24.7599437
Telliskivi 24,Tallinn,10611,Harjumaa,Tallinna Ristiku Selver,59.4357904,24.7209426
Tartu mnt 87,Tallinn,10112,Harjumaa,Tallinna Sikupilli keskus,59.4072471,24.8072546
J. Smuuli tee 9,Tallinn,13628,Harjumaa,Tallinna Smuuli Maxima XX,59.4348517,24.8305344
Tuulemaa 20,Tallinn,10315,Harjumaa,Tallinna Stroomi keskus,59.4472484,24.6928579
Liivalaia 53,Tallinn,10145,Harjumaa,Tallinna Stockmann,59.4315861,24.7603772
Sõpruse pst 174,Tallinn,13424,Harjumaa,Tallinna Sõpruse Rimi,59.4145752,24.7076448
Telliskivi 61,Tallinn,10412,Harjumaa,Tallinna Telliskivi Rimi,59.441545,24.7299041
Mustamäe tee 3,Tallinn,10616,Harjumaa,Tallinna Telia WoHo,59.4284642,24.705427
A. H. Tammsaare tee 62,Tallinn,11316,Harjumaa,Tallinna Tondi Selver,59.4031716,24.7159747
Vesivärava 37,Tallinn,10126,Harjumaa,Tallinna Torupilli Selver,59.4360871,24.7782196
Tähesaju tee 1,Tallinn,13917,Harjumaa,Tallinna Tähesaju Selver,59.4419122,24.8499801
Tööstuse 103,Tallinn,10416,Harjumaa,Tallinna Tööstuse Rimi,59.4529605,24.7169552
E. Vilde tee 75/77,Tallinn,12911,Harjumaa,Tallinna Vilde tee Maxima XX,59.4031546,24.6693498
Pärnu mnt 67a,Tallinn,10134,Harjumaa,Tallinna Vineeri trammipeatus,59.4248259,24.7435771
Viru väljak 4,Tallinn,10111,Harjumaa,Tallinna Viru keskuse bussiterminal,59.4365991,24.7549171
Järveotsa tee 35b,Tallinn,13520,Harjumaa,Tallinna Järveotsa Grossi kauplus,59.4073346,24.6408042
Keldrimäe 9,Tallinn,10113,Harjumaa,Tallinna Keskturu parkla,59.4296626,24.7671114
Linnamäe tee 3,Tallinn,13912,Harjumaa,Tallinna Linnamäe Konsum,59.4488137,24.8629618
Õismäe tee 88,Tallinn,13513,Harjumaa,Tallinna Õismäe tee 88 Maxima X,59.418855,24.6426269
Õismäe tee 46,Tallinn,13512,Harjumaa,Tallinna Õismäe Maxima XX,59.411548,24.6475319
Ehitajate tee 148,Tallinn,13517,Harjumaa,Tallinna Õismäe Maxima XXX,59.4211214,24.6512281
Suur-Sõjamäe 4,Tallinn,11415,Harjumaa,Tallinna Ülemiste keskus,59.4215601,24.7958311
Kalmistu 3,Tapa,45108,Lääne-Virumaa,Tapa Konsum,59.2648693,25.966657
Kalda tee 15,Tartu,50703,Tartumaa,Tartu Anne Maxima XX,58.3729814,26.7543977
Nõlvaku 2,Tartu,50708,Tartumaa,Tartu Anne Prisma,58.3761176,26.7804203
Võru 77,Tartu,50112,Tartumaa,Tartu Aardla Selver,58.3573986,26.7205858
Kalda tee 1c,Tartu,50703,Tartumaa,Tartu Eedeni keskus,58.3730777,26.7507363
Lembitu 2,Tartu,50406,Tartumaa,Tartu Lembitu Konsum,58.3699807,26.7100685
Võru 55 F,Tartu,50410,Tartumaa,Tartu Sõbrakeskus,58.370386,26.7215565
Turu 2,Tartu,51004,Tartumaa,Tartu bussijaam,58.3725136,26.7383438
Ringtee 75,Tartu,50501,Tartumaa,Tartu Lõunakeskus,58.3586092,26.6765849
Narva maantee 112,Tartu,50303,Tartumaa,Tartu Raadi Maxima XX,58.39209,26.7298993
Kaupmehe 2,Tartu,60532,Tartumaa,Tartu Raadimõisa Konsum,58.4027253,26.7414419
Rebase 10,Tartu,50104,Tartumaa,Tartu Rebase Rimi,58.3684522,26.7388492
Era 2,Tartu,51010,Tartumaa,Tartu Riiamäe Alexela,58.3720065,26.7208344
Aardla 114,Tartu,50415,Tartumaa,Tartu Ringtee Selver,58.3530072,26.686454
Vitamiini 1,Tartu,50412,Tartumaa,Tartu Veeriku Selver,58.3761375,26.6971336
Valga 3a,Tõrva,68601,Valgamaa,Tõrva Kevade keskus,58.0027113,25.9223885
Ujula 2,Tartu,51008,Tartumaa,Tartu Ujula Konsum,58.3865365,26.7238109
Müürsepa 1,Tõrvandi,61715,Tartumaa,Tõrvandi Konsum,58.3230362,26.7106711
Kalli mnt 1,Tõstamaa,88101,Pärnumaa,Tõstamaa Food Market,58.3360157,23.9931082
Tallinna 4,Türi,72211,Järvamaa,Türi Konsum,58.8085276,25.4272089
Tallinna mnt 84,Uuemõisa,90401,Läänemaa,Uuemõisa Konsum,58.9405538,23.5824691
Vana-Vaida tee 3,Vaida,75302,Harjumaa,Vaido A ja O,59.2856291,24.9765248
Narva mnt 5,Voka,41701,Ida-Virumaa,Voka Grossi kaubad,59.4041424,27.581473
Tallinna 26,Võhma,70602,Viljandimaa,Võhma Konsum,58.630441,25.5580839
Riia 18,Valga,68203,Valgamaa,Valga Rimi,57.7778286,26.0281311
Võidu 21,Vastseliina,65201,Võrumaa,Vastseliina Konsum,57.731983,27.2840114
Jaama tee 3,Vasalemma,76101,Harjumaa,Vasalemma Meie kauplus,59.33333,24.83333
Pargi tee 22,Viimsi,74001,Harjumaa,Viimsi Maxima X,59.5049447,24.8300415
